customer_id,email,status,age
1,user1@example.com,pending,77
2,user2@example.com,active,58
3,user3@example.com,active,62
4,user4@example.com,pending,53
5,user5@example.com,inactive,32
6,user6@example.com,active,61
7,user7@example.com,active,38
8,user8@example.com,active,71
9,user9@example.com,pending,67
10,user10@example.com,active,67
11,user11@example.com,pending,21
12,user12@example.com,pending,32
13,user13@example.com,pending,70
14,user14@example.com,active,20
15,user15@example.com,pending,69
16,user16@example.com,inactive,38
17,user17@example.com,active,43
18,user18@example.com,active,35
19,user19@example.com,active,22
20,user20@example.com,active,31
21,user21@example.com,active,76
22,user22@example.com,pending,78
23,user23@example.com,pending,54
24,user24@example.com,active,74
25,user25@example.com,pending,63
26,user26@example.com,active,38
27,user27@example.com,pending,31
28,user28@example.com,pending,59
29,user29@example.com,pending,49
30,user30@example.com,pending,43
31,user31@example.com,inactive,74
32,user32@example.com,active,76
33,user33@example.com,inactive,59
34,user34@example.com,pending,47
35,user35@example.com,inactive,27
36,user36@example.com,active,34
37,user37@example.com,active,26
38,user38@example.com,pending,33
39,user39@example.com,inactive,65
40,user40@example.com,inactive,53
41,user41@example.com,inactive,52
42,user42@example.com,active,34
43,user43@example.com,active,65
44,user44@example.com,inactive,55
45,user45@example.com,active,45
46,user46@example.com,active,75
47,user47@example.com,inactive,55
48,user48@example.com,active,43
49,user49@example.com,inactive,41
50,user50@example.com,inactive,32
51,user51@example.com,pending,26
52,user52@example.com,inactive,50
53,user53@example.com,active,49
54,user54@example.com,pending,23
55,user55@example.com,inactive,66
56,user56@example.com,pending,21
57,user57@example.com,active,73
58,user58@example.com,inactive,25
59,user59@example.com,active,27
60,user60@example.com,pending,58
61,user61@example.com,inactive,28
62,user62@example.com,pending,68
63,user63@example.com,pending,61
64,user64@example.com,inactive,45
65,user65@example.com,pending,56
66,user66@example.com,active,22
67,user67@example.com,pending,42
68,user68@example.com,active,42
69,user69@example.com,active,56
70,user70@example.com,pending,47
71,user71@example.com,active,51
72,user72@example.com,inactive,34
73,user73@example.com,active,80
74,user74@example.com,active,53
75,user75@example.com,active,73
76,user76@example.com,inactive,78
77,user77@example.com,inactive,18
78,user78@example.com,inactive,61
79,user79@example.com,pending,64
80,user80@example.com,inactive,25
81,user81@example.com,active,61
82,user82@example.com,inactive,74
83,user83@example.com,inactive,52
84,user84@example.com,active,66
85,user85@example.com,pending,35
86,user86@example.com,inactive,67
87,user87@example.com,pending,59
88,user88@example.com,pending,39
89,user89@example.com,pending,25
90,user90@example.com,active,36
91,user91@example.com,pending,45
92,user92@example.com,pending,28
93,user93@example.com,active,47
94,user94@example.com,pending,18
95,user95@example.com,pending,79
96,user96@example.com,active,64
97,user97@example.com,active,74
98,user98@example.com,inactive,64
99,user99@example.com,inactive,34
100,user100@example.com,inactive,80
